claim_id,proposed_claim,method_or_comparison,supporting_authority,support_level,allowed_wording,forbidden_wording,known_limitation,remaining_test_needed,unseen_required,paper_section
C01,hybrid_bytetrack has the best development HOTA,hybrid_bytetrack,CANONICAL_TRACKING_DEVELOPMENT_RESULTS_20260730.json,STRONGLY_SUPPORTED_ON_DEVELOPMENT,Hybrid had the highest HOTA on the 13-video development population.,Hybrid is universally best.,Same population was used for development and evaluation.,Independent 12-video evaluation,YES,Results
C02,hybrid_bytetrack has the strongest development identity continuity,hybrid_bytetrack,CANONICAL_TRACKING_DEVELOPMENT_RESULTS_20260730.json,SUPPORTED_WITH_MAJOR_LIMITATION,"Hybrid had IDSW=0, 24 wrong-ID frames, no terminal episodes, and high IDF1 on development.",Identity continuity generalizes.,Fragmentation and historical runtime limitations require disclosure.,Unseen identity analysis,YES,Results/Limitations
C03,hybrid_bytetrack is best in every tracking dimension,hybrid_bytetrack,CANONICAL_TRACKING_DEVELOPMENT_RESULTS_20260730.json,NOT_SUPPORTED,No such claim is allowed.,Best in every tracking dimension.,Hybrid has higher FP/FN/fragments than executable methods.,None; revise claim,NO,Discussion
C04,realtime_fast improves over current bytetrack_raw,C1,CANONICAL_TRACKING_DEVELOPMENT_RESULTS_20260730.json,SUPPORTED_WITH_MAJOR_LIMITATION,Realtime_fast improves several development quality and identity metrics as a complete method.,Its association core alone is superior.,Detector cadence and full topology differ; clusters are development-only.,Independent 12-video comparison,YES,Results
C05,realtime_fast has a better association core than ByteTrack,C1,CANONICAL_TRACKING_DEVELOPMENT_RESULTS_20260730.json,NOT_SUPPORTED,Only a complete-method comparison is supported.,Better association core.,"Detector cadence, producer, and topology differ.",Controlled component ablation,NO,Methods
C06,realtime_fast is real-time,realtime_fast,CANONICAL_TRACKING_DEVELOPMENT_RESULTS_20260730.json,REQUIRES_RUNTIME_BENCHMARK,Describe it as causal and realtime-oriented.,Real-time system.,Frozen benchmark protocol has not been executed.,Paired frozen runtime benchmark,NO,Runtime
C07,rf_hybrid improves realtime_fast,C3,CANONICAL_TRACKING_DEVELOPMENT_RESULTS_20260730.json,NOT_SUPPORTED,"rf_hybrid produced a mixed transfer result, not an overall improvement.",rf_hybrid improves realtime_fast.,"Lower IDSW coexists with worse HOTA, IDF1, wrong-ID exposure, and terminal episodes.",No retuning in this study,NO,Ablation
C08,rf_hybrid reduces IDSW but increases wrong-ID exposure,C3,CANONICAL_TRACKING_DEVELOPMENT_RESULTS_20260730.json,STRONGLY_SUPPORTED_ON_DEVELOPMENT,"rf_hybrid reduced IDSW from 29 to 18 but increased wrong-ID frames from 11,893 to 14,515.",Lower IDSW proves better identity quality.,Development population only.,Independent 12-video evaluation if retained,YES,Ablation
C09,the hybrid result is reproducible,hybrid_bytetrack,CANONICAL_TRACKING_DEVELOPMENT_RESULTS_20260730.json,SUPPORTED_WITH_MAJOR_LIMITATION,"A current full rerun established metric-level near parity, not exact prediction reproduction.",Byte-exact historical reproduction.,Historical runtime provenance remains incomplete.,Exact archival runtime evidence,NO,Reproducibility
C10,the results generalize to unseen sessions,all,CANONICAL_TRACKING_DEVELOPMENT_RESULTS_20260730.json,REQUIRES_UNSEEN,No generalization claim is made yet.,Generalizes to unseen sessions.,No independent unseen evaluation exists.,Frozen 12-video evaluation,YES,Limitations
C11,the methods are robust to Hidden-policy changes,all,CANONICAL_TRACKING_DEVELOPMENT_RESULTS_20260730.json,DESCRIPTIVE_ONLY,The development HOTA ordering remained unchanged under the visible-only sensitivity: RANKING_ROBUST_TO_HIDDEN_POLICY.,Robust to all visibility annotation uncertainty.,Hidden values are tracker-derived and visible-only changes the evaluated population.,Human Hidden review and unseen sensitivity,YES,Sensitivity
C12,the four-method study proves deployment readiness,all,CANONICAL_TRACKING_DEVELOPMENT_RESULTS_20260730.json,NOT_SUPPORTED,The study supplies development evidence only.,Deployment ready.,No unseen validation and no frozen runtime benchmark.,Unseen plus runtime benchmark,YES,Limitations
