section,experiment,system,dataset_role,metric,value,uncertainty,n,status,artifact,commit,notes
tracking,tracking_dev12_evaluation,Raw ByteTrack,development_profile_overlap_12vids,HOTA,0.8111,,12 videos / 96 tracks,PROMOTED,outputs/paper_analysis/identity_profile_propagation_dev12_rawbaseline_v1/summary.json,HEAD,Frozen B0 historical predictions evaluated under Standard V2 bipartite contract.
tracking,tracking_dev12_evaluation,Raw ByteTrack,development_profile_overlap_12vids,IDF1,0.8879,,12 videos / 96 tracks,PROMOTED,outputs/paper_analysis/identity_profile_propagation_dev12_rawbaseline_v1/summary.json,HEAD,"Standard V2 matching, IoU >= 0.5, include_hidden=True, 30fps."
tracking,tracking_dev12_evaluation,Raw ByteTrack,development_profile_overlap_12vids,IDSW,64,,12 videos / 96 tracks,PROMOTED,outputs/paper_analysis/identity_profile_propagation_dev12_rawbaseline_v1/summary.json,HEAD,Discrete identity switches on 12 behavior-annotated development videos.
tracking,tracking_dev12_evaluation,Raw ByteTrack,development_profile_overlap_12vids,wrong_id_exposure_frames,35008,,12 videos / 96 tracks,PROMOTED,outputs/paper_analysis/identity_profile_propagation_dev12_rawbaseline_v1/summary.json,HEAD,Cumulative physical frames where an active track holds a mismatched ground-truth identity.
tracking,tracking_dev12_evaluation,RealTime-Fast,development_profile_overlap_12vids,HOTA,0.8860,,12 videos / 96 tracks,PROMOTED,outputs/paper_analysis/identity_profile_propagation_dev12_rawbaseline_v1/summary.json,HEAD,Causal online tracking mode without future temporal lookahead.
tracking,tracking_dev12_evaluation,RealTime-Fast,development_profile_overlap_12vids,IDF1,0.9700,,12 videos / 96 tracks,PROMOTED,outputs/paper_analysis/identity_profile_propagation_dev12_rawbaseline_v1/summary.json,HEAD,Causal online tracking mode.
tracking,tracking_dev12_evaluation,RealTime-Fast,development_profile_overlap_12vids,IDSW,25,,12 videos / 96 tracks,PROMOTED,outputs/paper_analysis/identity_profile_propagation_dev12_rawbaseline_v1/summary.json,HEAD,60.9% reduction in ID switches relative to Raw ByteTrack.
tracking,tracking_dev12_evaluation,RealTime-Fast,development_profile_overlap_12vids,wrong_id_exposure_frames,11765,,12 videos / 96 tracks,PROMOTED,outputs/paper_analysis/identity_profile_propagation_dev12_rawbaseline_v1/summary.json,HEAD,66.4% reduction in wrong-ID exposure frames relative to Raw ByteTrack.
tracking,tracking_dev12_evaluation,Hybrid-ByteTrack,development_profile_overlap_12vids,HOTA,0.8982,,12 videos / 96 tracks,PROMOTED,outputs/paper_analysis/identity_profile_propagation_dev12_rawbaseline_v1/summary.json,HEAD,Retrospective offline tracking mode with backward trajectory refinement.
tracking,tracking_dev12_evaluation,Hybrid-ByteTrack,development_profile_overlap_12vids,IDF1,0.9911,,12 videos / 96 tracks,PROMOTED,outputs/paper_analysis/identity_profile_propagation_dev12_rawbaseline_v1/summary.json,HEAD,Retrospective offline tracking mode.
tracking,tracking_dev12_evaluation,Hybrid-ByteTrack,development_profile_overlap_12vids,IDSW,0,,12 videos / 96 tracks,PROMOTED,outputs/paper_analysis/identity_profile_propagation_dev12_rawbaseline_v1/summary.json,HEAD,Complete elimination of ID switches on 12 development videos.
tracking,tracking_dev12_evaluation,Hybrid-ByteTrack,development_profile_overlap_12vids,wrong_id_exposure_frames,24,,12 videos / 96 tracks,PROMOTED,outputs/paper_analysis/identity_profile_propagation_dev12_rawbaseline_v1/summary.json,HEAD,Residual 24 frames from a single edge-case boundary overlap.
tracking,tracking_dev13_evaluation,Raw ByteTrack (B0_historical),tracking_development_full_13vids,HOTA,0.8136,,13 videos / 104 tracks,PROMOTED,outputs/tracking/three_mode_historical_reconstruction_20260729/standard_v2/pass_1/THREE_MODE_STANDARD_V2_AUTHORITY.json,HEAD,"Includes video 000263 (tracking-only, no behavior annotations)."
tracking,tracking_dev13_evaluation,Raw ByteTrack (B0_historical),tracking_development_full_13vids,AssA,0.7561,,13 videos / 104 tracks,PROMOTED,outputs/tracking/three_mode_historical_reconstruction_20260729/standard_v2/pass_1/THREE_MODE_STANDARD_V2_AUTHORITY.json,HEAD,Full 13-video development cohort.
tracking,tracking_dev13_evaluation,Raw ByteTrack (B0_historical),tracking_development_full_13vids,DetA,0.8763,,13 videos / 104 tracks,PROMOTED,outputs/tracking/three_mode_historical_reconstruction_20260729/standard_v2/pass_1/THREE_MODE_STANDARD_V2_AUTHORITY.json,HEAD,Full 13-video development cohort.
