stage,B0_historical_value,B0_current_value,B0_same_or_different,B0_evidence,R0_historical_value,R0_current_value,R0_same_or_different,R0_evidence,B1_historical_value,B1_current_value,B1_same_or_different,B1_evidence
source population,locked full-13; frames 0-1799,same,SAME,Standard V2 population manifest,locked full-13; frames 0-1799,same,SAME,canonical prediction comparator,locked full-13; frames 0-1799,same,SAME,historical Standard V2 population authority
detector weights,6b57d95b...fed,6b57d95b...fed,SAME,historical run manifest; current cache authority,6b57d95b...fed,6b57d95b...fed,SAME,RF_ACC23 and R0 authorities,6b57d95b...fed,6b57d95b...fed,SAME,historical/current detector authorities
detector producer,live persistent YOLO.track,ReplayDetector over YOLO.predict cache,DIFFERENT,e7fc039 runner vs current replay source,live YOLO.predict,ReplayDetector over YOLO.predict cache,DIFFERENT_NO_PREDICTION_EFFECT,canonical predictions exactly equal,live persistent YOLO.track,ReplayDetector over YOLO.predict cache,DIFFERENT,31d360 runner and cache-producer source
detector configuration,conf 0.20; configured max 20 not forwarded,cache conf 0.25; producer max 32,DIFFERENT,"run command, defaults, cache authority",conf 0.25; max 32; cadence 2,same,SAME,RF_ACC23 and current effective configs,declared conf 0.20; max 64,cache conf 0.25; max 32,DIFFERENT,historical/current detector authorities
raw detector rows,not frozen,frozen 0.25/32 predict cache,UNRESOLVED_DIRECT_ROWS,historical cache absent,not independently frozen,frozen even-frame cache,UNRESOLVED_ROWS_OUTPUT_EQUAL,prediction equality,not frozen,frozen 0.25/32 predict cache,UNRESOLVED_DIRECT_ROWS,original historical rows absent
post-load rows,live track rows; direct rows unavailable,cache replay rows,UNRESOLVED,no historical boundary capture,realtime confidence filter,same scientific output,NO_OBSERVED_DIFFERENCE,prediction equality,historical live track rows unavailable,adaptive ladder after predict cache,SCHEMA_DIFFERENT,source comparison
tracker boundary,Ultralytics ByteTrack IDs from model.track,predict rows without ByteTrack raw IDs,DIFFERENT,source topology,causal realtime detections,scientifically equivalent evidence,EQUIVALENT_OUTPUT,187200 rows equal,Ultralytics ByteTrack IDs from model.track,predict rows without historical ByteTrack state,DIFFERENT,source topology and boundary audit
tracker code,e7fc039,ac9bda0 lineage/cache replay seam,DIFFERENT_CONFOUNDED,Git history,f1b5dc7 RF_ACC23,cf0404a current R0,SOURCE_DIFFERENT_OUTPUT_EQUAL,Git history and prediction parity,31d360,ac9bda0 lineage/cache replay seam,DIFFERENT_TOPOLOGY,Git history
tracker config,historical raw defaults/overrides,current frozen B0 profile/cache package,DIFFERENT_EFFECTIVE_PACKAGE,run and current authorities,9bf4ce6d... RF_ACC23,9bf4ce6d...,SAME,effective-config hash,4eb3d4e2... H5b/H4,4eb3d4e2...,PROFILE_EQUAL_INPUT_TOPOLOGY_DIFFERENT,profile authority and source audit
repair,disabled,disabled,SAME,run/profile configs,none,none,SAME,RF_ACC23/R0 profiles,ordered H5b then H4 repair,declared semantically matched refactor,SOURCE_REFACTORED_DECLARED_MATCH,repair semantic authority
export,CVAT 1.1,CVAT 1.1,SCHEMA_SAME_CONTENT_DIFFERENT,canonical comparator,CVAT 1.1,CVAT 1.1,SCIENTIFICALLY_EQUAL_METADATA_DIFFERENT,canonical comparator,CVAT 1.1,CVAT 1.1,SCHEMA_SAME_CONTENT_DIFFERENT,canonical comparator
evaluator,legacy originally; Standard V2 campaign,Standard V2,ORIGINAL_DIFFERENT_CAMPAIGN_MATCHED,six-arm Standard V2 authority,legacy originally; Standard V2 campaign,Standard V2,SOLE_REPORTED_METRIC_DRIFT,equal predictions and equal Standard V2 metrics,Standard V2 authority,Standard V2,SAME,six-arm Standard V2 authority
