claim_id,claim_text,status,supporting_artifacts,contradicting_artifacts,scope,limitations,required_next_evidence
C01,Current R0 is strongest among current 2x2 frozen artifacts.,AUTHORIZED,DEVELOPMENT_2X2_STANDARD_V2_AUTHORITY_20260728.json,,current frozen development artifacts only,Not a historical-best or unseen claim.,none for this narrow scope
C02,Historical H5b/H4 is stronger than current R0 on development.,AUTHORIZED_WITH_LIMITATION,HISTORICAL_H5B_H4_STANDARD_V2_AUTHORITY_20260728.json;R0_REALTIME_FAST_STANDARD_V2_AUTHORITY_20260728.json,,same locked development population and Standard V2,Different whole pipelines; not causal attribution.,none for metric comparison
C03,Current B1 represents historical H5b/H4.,CONTRADICTED,,HISTORICAL_H5B_H4_EXECUTABLE_REPRODUCTION_AUTHORITY_20260729.json,prediction and metric identity,"5920 ID, 1959 Hidden, 187162 bbox differences.",corrective tracker-boundary provenance audit
C04,Current B0 improved over historical raw ByteTrack.,NOT_AUTHORIZED,,historical prediction bytes unavailable,historical improvement,Prediction/evaluator comparability absent.,surviving historical raw predictions and contract
C05,Current R0 improved over historical fast.,NOT_AUTHORIZED,,multiple realtime_fast versions and evaluator contracts,historical improvement,"Method version, prediction, and evaluator confounded.",version-specific prediction/evaluator parity
C06,Current R1 repair is harmful relative to current R0.,AUTHORIZED_WITH_LIMITATION,DEVELOPMENT_2X2_REPAIR_EFFECT_CLASSIFICATION_20260728.json,,predeclared current development hierarchy,R1 lowers IDSW but worsens co-primary/severity metrics.,none for current development scope
C07,ByteTrack repair is mixed for current B0 versus B1.,AUTHORIZED_WITH_LIMITATION,DEVELOPMENT_2X2_REPAIR_EFFECT_CLASSIFICATION_20260728.json,,current B0/B1 artifacts sharing current cache authority,B1 ledger unavailable; metric-level effect only.,raw B1 repair ledger for mechanism attribution
C08,IDSW alone is sufficient to rank identity quality.,CONTRADICTED,,Standard-V2 metric hierarchy authorities,all tracking ranking,"Wrong-ID exposure, terminal episodes and swaps also required.",not applicable; claim rejected by contract
C09,Cross-core effects are pure association effects.,CONTRADICTED,,DEVELOPMENT_2X2_STANDARD_V2_AUTHORITY_20260728.json,current 2x2,Detector cadence/evidence differs across cores.,common detector-boundary experiment
C10,Historical H5b/H4 is currently executable.,NOT_AUTHORIZED,,FAIL_METRIC_PARITY executable reproduction authority,executable method authority,Frozen predictions survive; executable parity does not.,corrected cache-consumption or pinned execution
C11,Historical H5b/H4 is irreproducible.,UNRESOLVED,one failed deterministic reproduction,cache-consumption root cause not closed,future executable recovery,One route failed; all recoverable routes not exhausted.,read-only tracker-boundary provenance closure
C12,Unseen execution is authorized.,NOT_AUTHORIZED,,HISTORICAL_H5B_H4_UNSEEN_FREEZE_IMPACT_DECISION_20260728.json,unseen data,Freeze is suspended and unseen data remains untouched.,later explicit freeze decision
C13,Current 2x2 is internally valid as a development ablation.,AUTHORIZED,DEVELOPMENT_2X2_STANDARD_V2_AUTHORITY_20260728.json,,four current frozen artifacts,Does not represent the true historical-best hybrid.,none for narrow internal validity
C14,Detector confidence/max-detection drift solely explains B1 discrepancy.,UNRESOLVED,declared 0.20/64 versus 0.25/32 evidence,tracker-boundary consumption not fully audited,historical versus current B1 causation,Aggregate or prediction differences do not prove sole cause.,complete read-only cache-boundary audit
C15,Historical H5b/H4 prediction bytes and Standard-V2 metrics are authoritative.,AUTHORIZED,HISTORICAL_H5B_H4_PREDICTION_AUTHORITY_20260728.json;HISTORICAL_H5B_H4_STANDARD_V2_AUTHORITY_20260728.json,,non-executable historical prediction authority,Does not establish executable method authority.,none for frozen prediction result
