transition_id,starting_sha,resulting_sha,task_or_decision,stated_assumption,evidence_available,evidence_not_searched,detector_producer,detector_configuration,cache_path,post_load_filtering,tracker_entry_point,tracker_state_lifecycle,h5b_h4_topology,prediction_artifact,prediction_affecting_consequence
T01,31d360ba96b4065ce5125c0d88765531cc5898ae,e2b85b18b1b4f5a07fc62368b397083a78821353,"authorize hybrid H5b/H4 promotion","H5b followed by H4 geometry replay is the promoted development method","13 H5b XMLs; 13 H4 final XMLs; H5b run manifest; 13 geometry replay manifests","none identified","Ultralytics YOLO.track","det_conf=0.20; iou=0.50; max_raw_detections=64 configured but not passed to model.track","NONE","adaptive_confidence_filter after model.track","historical evaluation CLI -> run_tracking","one YOLO/tracker per video; persist=True within video","live H5b tracking then per-video H4 geometry replay","20260719_h5b_h4_full13_combined_v2","baseline historical execution authority"
T02,15e846c56a1924347b723736a33398488d655d6e,2a4d83bc03fe97b5c239f18daddff2bec4450e08,"add fail-closed detector cache replay","cached detector results can be served through the detector model seam","generic detector-cache identity and replay tests","historical H5b/H4 execution topology was not in scope","Ultralytics YOLO.predict for cache recording","consumer supplied","generic cache root","consumer adaptive filter remains active","ReplayDetector.track","no Ultralytics tracker state; track kwargs discarded","not H5b/H4 specific","none","introduced the stateless replay mechanism later used for B1"
T03,f441705e85dfe1e1514765f3723415df702c9f97,37535cc4ac36958dee75870e9164c279fb946576,"frozen tracking artifact authority audit","historical promoted H5b/H4 prediction root is missing","current-repository output inventory; historical summaries","PIG_task_tracking output roots containing 13 final XMLs dated 2026-07-19","NONE","UNKNOWN","NONE","NONE","NONE","NONE","historical topology not reconstructed","NOT_AVAILABLE recorded","false absence triggered regeneration instead of freezing surviving bytes"
T04,37535cc4ac36958dee75870e9164c279fb946576,f9c698075358ceca4215d8a98b8fe5ed8887c67c,"B0/B1 frozen prediction regeneration","B0 and B1 require common every-frame detector evidence","current R0 even-frame cache and current profile dictionaries","surviving historical H5b/H4 predictions and direct model.track contract","planned common cache producer","current realtime detector authority","planned full-frame cache","current adaptive filter retained","current run_tracking","planned replay object per video","B1 treated as current hybrid profile plus generic offline repair","blocked","made common detector evidence a prerequisite for a historical-named B1"
T05,f9c698075358ceca4215d8a98b8fe5ed8887c67c,cf044d04b08c2c4f6b34b644b1253678d5aff595,"complete full-frame detector cache","missing odd frames can be completed under current R0 detector semantics","R0 cache and current realtime effective configuration","historical H5b detector producer semantics","Ultralytics YOLO.predict","det_conf=0.25; iou=0.50; max_det=32; imgsz=640; masked input","outputs/tracking/detector_cache_full_frame_standard_v2_20260728_retry1","none during production","NONE","NONE","no H5b/H4 stages","full-frame detector evidence","first prediction-affecting change: detector producer and effective detector input contract diverged"
T06,aadbf7787902e23b74d66353a076601059865a29,e1960f1fe6c7cba822011e2ba8eea45007cd972b,"freeze full-frame detector cache authority","the completed current detector cache is common evidence for B0/B1","23,400 cached frames under 0.25/32 predict semantics","historical 0.20 direct model.track rows and tracker state","Ultralytics YOLO.predict","det_conf=0.25; max_det=32","outputs/tracking/detector_cache_full_frame_standard_v2_20260728_retry1","consumer filtering deferred","NONE","NONE","no H5b/H4 stages","cache authority","froze a new evidence contract as if it were method-neutral"
T07,8903151809a47557c8c9cfa6116e990eec5fcf92,ac9bda0f7432d56229ede36bbb8fa06167846313,"add frozen B0/B1 replay generator","profile-name equality plus common cache replay preserves B0/B1 method identity","current profile hashes and full-frame cache authority","historical model.track state/raw IDs and H4 intermediate contract","ReplayDetector over YOLO.predict cache","cache is 0.25/32; B1 profile passed to current runner","outputs/tracking/detector_cache_full_frame_standard_v2_20260728_retry1","adaptive_confidence_filter after replay","current run_tracking(model=ReplayDetector)","ReplayDetector.track discards persist/tracker kwargs; no Ultralytics ByteTrack state","current unified offline repair; no external historical H4 replay","generator only","made prediction equivalence impossible at MODEL_TRACK_INPUT even if cached boxes matched"
T08,ac9bda0f7432d56229ede36bbb8fa06167846313,d28631ec5384db8888432f9c8d0e5af035e270e6,"freeze B0/B1 prediction authorities","generated hybrid_bytetrack is authoritative B1","deterministic current replay outputs","surviving historical H5b/H4 final XMLs","ReplayDetector","effective 0.25/32","full-frame cache authority","current adaptive confidence filter","current run_tracking","stateless cached result provider","current repair stack","569c49e00905add068fac70c919fe21c10127e3ab773528a4ac44199fcb4835b","retained hybrid_bytetrack name despite non-equivalence"
T09,398b6ec58f5d912083d3a55469a3e31acc713367,f3a7789bce26e99ab9a43a8ee3a1a1bcaebe934d,"freeze B0/B1/R0 Standard-V2 authorities","current B1 can stand for the promoted hybrid lineage","current B1 prediction and Standard-V2 output","historical final XMLs under same evaluator","N/A","N/A","N/A","N/A","N/A","N/A","current B1 only","current B1 metric authority","converted the prediction mismatch into an unsupported historical comparison"
T10,c6ba3f8bb749b238872437fda2aeba6100a8fe6f,1a59871d77fb0336ee307ba4f0e2ca93917782cc,"freeze development 2x2 authority","B1 is the offline ByteTrack arm of the historical/current 2x2","four current frozen prediction artifacts","historical champion final XMLs and exact H5b/H4 topology","N/A","N/A","N/A","N/A","N/A","N/A","current B1 only","current 2x2 B1 artifact","institutionalized a valid current-artifact ablation under an invalid historical-equivalence interpretation"
