objection_id,likely_reviewer_objection,severity,why_the_objection_is_reasonable,current_evidence,new_analysis_performed,result,residual_limitation,defensible_response,paper_change_required,future_evidence_required,fatal_to_current_development_claims
DEVELOPMENT_OVERFITTING,Methods were developed and assessed on the same 13 videos.,CRITICAL,Methods were developed and assessed on the same 13 videos.,Frozen metrics and no post-result tuning.,Paired per-video and influence analysis.,"Development effects are descriptive, not confirmatory.",Independent 12-video evidence remains absent.,Report development results with explicit hypothesis-generating scope.,YES,12-video evaluation,NO
PSEUDOREPLICATION,"23,400 frames are temporally dependent.",MAJOR,"23,400 frames are temporally dependent.",Sequence-local evaluator and 13 per-video rows.,Video-cluster bootstrap and leave-one-video-out analysis.,No frame-level inference was used.,Video independence is not proven.,Use video as the descriptive unit and avoid frame-level CIs.,YES,Session metadata,NO
SESSION_NONINDEPENDENCE,Several videos may share recording conditions.,MAJOR,Several videos may share recording conditions.,No proven session metadata was found.,Session map records every grouping as unknown.,Per-session aggregation was not justified.,Independent session count remains unknown.,Disclose unresolved session dependence.,YES,Proven recording-session metadata,NO
AGGREGATE_DOMINATION,Aggregate metrics can hide influential videos.,MAJOR,Aggregate metrics can hide influential videos.,Mandatory per-video Standard V2 metrics.,"Win/tie/loss, paired differences, and leave-one-video-out ranges.",Influential videos are identified explicitly.,Thirteen videos remain a small development population.,Present per-video distributions beside global metrics.,YES,Independent larger set,NO
IDSW_GAMING_BY_FRAGMENTATION,Zero IDSW can arise if difficult tracks terminate.,MAJOR,Zero IDSW can arise if difficult tracks terminate.,"Hybrid IDF1/AssA, errors, fragments, and episode tables.","Tracklet, gap-tolerant fragment, terminal, and persistent-swap audit.",IDSW_ZERO_SUPPORTED_BY_BROAD_IDENTITY_CONTINUITY,Mostly-tracked breakdown is unavailable.,"Report IDSW jointly with IDF1, AssA, FP/FN, fragments, wrong-ID exposure, and terminal episodes.",YES,Human trajectory audit,NO
DETECTION_ASSOCIATION_TRADEOFF,Hybrid has higher FP/FN/fragments despite stronger identity.,MODERATE,Hybrid has higher FP/FN/fragments despite stronger identity.,Canonical DetA/AssA/LocA and raw counts.,Per-video detection-association comparison.,The trade-off is real and is not hidden.,Causal and offline methods have different topology.,"Describe hybrid as identity-strong, not best in every dimension.",YES,Unseen comparison,NO
METHOD_FAIRNESS,Complete pipelines use different producers and cadence.,MAJOR,Complete pipelines use different producers and cadence.,Method registry and fairness matrix.,All pairwise claims were classified by design.,Only complete-method and transfer claims are allowed.,No pure core ablation exists.,State detector cadence and future-frame policy in the comparison table.,YES,Controlled ablation if core claim is desired,NO
HISTORICAL_RUNTIME_INCOMPLETENESS,Historical hybrid predictions are not byte-exactly reproducible.,MAJOR,Historical hybrid predictions are not byte-exactly reproducible.,Historical XML authority plus full rerun.,Historical-versus-rerun metric table.,Metric-level near parity is established; exact parity is not.,Exact historical package/runtime provenance is unavailable.,Retain historical XMLs as primary and label rerun supplementary.,YES,Exact archival runtime evidence,NO
HIDDEN_GT_UNCERTAINTY,Hidden labels are tracker-derived and may be uncertain.,MAJOR,Hidden labels are tracker-derived and may be uncertain.,Primary include-Hidden and evaluator contract.,Visible-only frozen-prediction sensitivity.,RANKING_ROBUST_TO_HIDDEN_POLICY,Visible-only excludes rather than corrects uncertain Hidden labels.,Keep include-Hidden primary and report visible-only sensitivity.,YES,Human Hidden review,NO
CUSTOM_METRIC_VALIDITY,Wrong-ID episodes are custom diagnostics.,MODERATE,Wrong-ID episodes are custom diagnostics.,Versioned Standard V2 contracts and tests.,Specification plus machine-readable golden cases.,Definitions and units are explicit; diagnostics supplement standard metrics.,External adoption is not established.,Lead with HOTA/IDF1/IDSW and label episode metrics diagnostic.,YES,Optional independent implementation,NO
REALTIME_CLAIM,Causal semantics do not prove throughput or latency.,MAJOR,Causal semantics do not prove throughput or latency.,Prefix invariance and frozen runtime protocol.,Runtime authority inventory.,"Realtime_fast is causal and realtime-oriented, not empirically benchmarked here.",No paired p50/p95/FPS/memory authority.,Use 'causal realtime-oriented method'.,YES,Frozen runtime benchmark,NO
BASELINE_INSUFFICIENCY,Only ByteTrack is an external executable baseline.,MODERATE,Only ByteTrack is an external executable baseline.,Current ByteTrack authority and internal methods.,Baseline adequacy assessment.,Sufficient for an upstream behavior-pipeline study; not for a tracking-primary claim.,Additional MOT baseline absent.,Narrow the paper claim or add a baseline later.,YES,External MOT baseline for tracking-primary scope,NO
NO_UNSEEN_GENERALIZATION,No independent test currently supports generalization.,CRITICAL,No independent test currently supports generalization.,Development-only freeze.,Claim matrix explicitly blocks generalization.,No unseen claim is made.,Twelve-video evaluation is pending.,Call all current results development evidence.,YES,Frozen 12-video evaluation,YES_FOR_GENERALIZATION_ONLY
