state_field,evidence_class,formula_or_source,range_or_type,units_or_normalization,clipping_policy,missing_behavior,monotonic_direction,validity_rule,quality_or_age_decay,maximum_influence,absence_limits_duration,causal,rejected_runtime_use
"last_trusted_frame_index","CORE_REQUIRED","frame index of last ordinary trusted detector match","nonnegative integer","frames","no clipping","invalidates preserved state","never moves without trusted match","current or past frame only","none","defines age only","false","true","false"
"last_trusted_bbox","CORE_REQUIRED","last assigned finite detector bbox","x1,y1,x2,y2 with positive width and height","pixels plus diagonal normalization","no silent repair","invalidates preserved state","unchanged without propagation source","finite positive-area current/past assigned detection","none","reference evidence only","false","true","false"
"dropout_age","CORE_REQUIRED","current_frame-last_trusted_frame_index","integer [0,10] usable","frames","age above 10 invalidates","invalidates when unavailable","nondecreasing without trusted match","causal continuous frame indices","none","controls decay and invalidation","true","true","false"
"state_validity","CORE_REQUIRED","conjunction of numeric lifecycle and sequence validity","boolean","none","fail closed","false invalidates","can only restore on trusted match","all core fields valid","none","gates evidence","true","true","false"
"causal_frame_continuity","CORE_REQUIRED","current frame is prior frame plus one","boolean","frames","fail closed","false invalidates","cannot self-restore inside preserved state","strictly increasing contiguous frame indices","none","gates evidence","true","true","false"
"sequence_boundary_token","CORE_REQUIRED","opaque per-run boundary reset signal","opaque equality token","not a video identity","no numeric clipping","change clears state","constant within one source sequence","provided by runner lifecycle","none","reset only","true","true","false"
"state_confidence","CORE_REQUIRED","C0*2^(-age/6)","float [0,1]","normalized reliability","clip to [0,1]","nonfinite invalidates","nonincreasing without trusted match","C0 finite in [0,1]","half-life 6 frames","evidence-quality annotation","true","true","false"
"uncertainty","CORE_REQUIRED","0.10+age*(0.05+0.10*(1-motion_reliability))+persistent_boundary_seen_penalty","float [0,1]","normalized uncertainty","clip to [0,1]","nonfinite invalidates","nondecreasing without trusted match","trusted match sets U0=0.10; persistent boundary flag is monotonic","growth every dropout frame","gates evidence at 0.75","true","true","false"
"appearance_prototype","OPTIONAL_WITH_QUALITY","last trusted assigned-detection descriptor","finite fixed-length vector","descriptor-specific normalized space","no value clipping; similarity later bounded to [0,1]","absent contributes zero reliability","never refreshes without trusted match","shape and values finite","quality multiplied by 2^(-age/8)","ordinary association evidence bounded by appearance reliability","false","true","false"
"appearance_quality","OPTIONAL_WITH_QUALITY","quality at trusted assigned detection","float [0,1]","normalized quality","clip to [0,1]","absent or invalid becomes zero","nonincreasing during dropout","finite and paired with prototype","half-life 8 frames","appearance reliability at most 1","false","true","false"
"velocity_history","OPTIONAL_WITH_QUALITY","causal center and log-scale differences from trusted boxes","finite center vector and two log-scale rates","center in bbox diagonals/frame; scale in log ratio/frame","center magnitude <=0.25; absolute scale rate <=log(1.25)","absent holds geometry and sets motion reliability zero","never refreshes during dropout","at least two ordered trusted boxes","quality multiplied by 2^(-age/4)","geometry propagation only","true","true","false"
"lk_motion","OPTIONAL_WITH_QUALITY","causal LK displacement ending at current/past frame","finite normalized displacement","bbox diagonals/frame","center magnitude clipped to 0.25","failed LK sets reliability zero","cannot become valid without new causal LK evidence","current/past frames and finite quality","half-life 4 frames","geometry propagation only","true","true","false"
"occlusion_estimate","OPTIONAL_WITH_QUALITY","FixedTrack state OCCLUDED and one of last_source=occlusion_hold; is_area_occluded; last_merged_split","boolean","none","no clipping","absence routes age 3 through 10 to STALE_PRESERVED","never increases confidence or reduces uncertainty","current/past baseline fields only; conflicting trusted match takes precedence","expires each frame","state route only; zero score or assignment influence","false","true","false"
"detection_confidence_history","DIAGNOSTIC_ONLY","past assigned detector confidences","finite list [0,1]","detector confidence","clip diagnostics to [0,1]","absence has no preservation effect","cannot refresh during dropout","assigned detections only","age reported diagnostically","no assignment or preservation weight","false","true","false"
"gt_identity","REJECTED","ground-truth identity or visibility","forbidden","none","not applicable","never accepted","not applicable","never valid at runtime","not applicable","zero","false","false","true"
"runtime_context_identifiers","REJECTED","video key, episode ID, date, frame range, development or validation role","forbidden","none","not applicable","never accepted","not applicable","never valid as algorithm input","not applicable","zero","false","false","true"
