chronological_order,candidate_id,commit_sha,run_id,optimization_family,algorithm_or_stage,entry_point,effective_parameters,input_artifact,output_artifact,decision,decision_evidence,accepted_into_final,superseded_by,active_in_final_source,active_in_final_execution
1,BASE_MOT_SPLIT,93dae3f00292ba16f56d354cd85196202ca2ae05,,tracker_orchestration,"modular YOLO tracking; fixed-eight project association; identity guard",src/pig_behavior/tracking/runner.py,"historical defaults",video frames,tracking shapes,ACCEPTED_INTO_FINAL,"git history introduces the surviving runner and apply_identity_swap_guard; final source invokes both",YES,,YES,YES
2,LIVE_MODEL_TRACK,3c198c7897a613205e7fcc55b85d6531f134ba96,,detector_tracker,"direct Ultralytics model.track with persistent ByteTrack state",src/pig_behavior/tracking/runner.py,"persist=true; tracker YAML; one model per run_tracking call",video frames,Ultralytics tracked boxes,ACCEPTED_INTO_FINAL,"git -S model.track/persist plus final source runner.py:285-294",YES,,YES,YES
3,BYTETRACK_MODE_CONSOLIDATION,08060860fa84a29c71041eea623c7e2254f360c5,,tracker_orchestration,"ByteTrack mode uses all detections in project association and adaptive low-confidence flow",src/pig_behavior/tracking/runner.py,"direct model.track; adaptive_confidence_filter",Ultralytics tracked boxes,project detections,ACCEPTED_INTO_FINAL,"Good for tracking commit; semantics survive in final source",YES,,YES,YES
4,HYBRID_RAW_OWNER,f08fcef7756702711b3d4a2ee549f659d21f0809,,owner_guard,"hybrid raw-ID owner penalty and all-detection visible matching",src/pig_behavior/tracking/association.py,"raw owner penalty 0.18; visible phase receives all detections",project detections,matched fixed tracks,ACCEPTED_INTO_FINAL,"Best hyber_bytetrack_1 commit and surviving final association path",YES,,YES,YES
5,OVERLAP_HIDDEN_ISLAND,6fdcaccf7379e99c42f56cf88d87498bd55f9066,,hidden_repair,"temporal refinement followed by overlap Hidden-island stabilization",src/pig_behavior/tracking/refinement.py,"hidden_overlap_iou_threshold=0.65; window=2",raw project tracks,refined shapes,ACCEPTED_INTO_FINAL,"Update back a best tracking adds stage and final runner invokes it under active smoothing",YES,,YES,YES
6,LOST_REACQUIRE_V1,30eea182e0f279bd490625cb8105e7e45f1f0bd7,,reidentification,"lost-track reacquire and visible raw-owner transfer guards",src/pig_behavior/tracking/association.py,"center and raw-owner guards",project association,matched fixed tracks,SUPERSEDED,"explicitly reverted by 9aa0566 then reintroduced identically by 12bb740",NO,LOST_REACQUIRE_ACCEPTED,NO,NO
7,LOST_REACQUIRE_REVERT,9aa05669ffcd03cf29f0364bd547c53ade0d0878,,reidentification,"rollback of LOST_REACQUIRE_V1",src/pig_behavior/tracking/association.py,"revert 30eea18",project association,matched fixed tracks,REJECTED,"commit is explicit Revert of New best tracking 03/07",NO,LOST_REACQUIRE_ACCEPTED,NO,NO
8,LOST_REACQUIRE_ACCEPTED,12bb740901d865ea00e894d14e29afcb0baaffa2,,reidentification,"lost-track reacquire and visible raw-owner transfer guards",src/pig_behavior/tracking/association.py,"lost_track_reacquire_guard=true; visible_raw_owner_transfer_min_gain=0.04",project association,matched fixed tracks,ACCEPTED_INTO_FINAL,"fix nhảy id commit; byte-identical relevant files to 30eea18; survives final source",YES,,YES,YES
9,MULTIVIDEO_RAW_OWNER_BYPASSES,f6c004dfb36f4483d5cbbd2a74c3d7c398dbfcb3,20260703_194929,owner_guard,"appearance-gated same-raw and hidden-owner bypasses",src/pig_behavior/tracking/association.py,"appearance and center-gain guards",lost-track candidates,matched fixed tracks,ACCEPTED_INTO_FINAL,"commit reports difficult-video 231 IDSW 12 to 2; code survives final source",YES,,YES,YES
10,NON_SAME_RAW_DISTANCE_POLICY,b12e48eefdcf32ba6a2d7579d739396f46d70231,20260703_194929,owner_guard,"disable distance-only reject while retaining raw-owner guards",src/pig_behavior/tracking/config.py,"lost_track_reacquire_non_same_raw_distance_guard=false",lost-track candidates,matched fixed tracks,ACCEPTED_INTO_FINAL,"comment binds strong 9-video result and commit calls it best to date",YES,,YES,YES
