stage_order,stage_name,source_file,function,input_schema,output_schema,track_id_assumptions,lifecycle_assumptions,hidden_lost_reentry_assumptions,frame_index_assumptions,timestamp_assumptions,bbox_representation,confidence_fields,appearance_fields,raw_owner_fields,future_frame_access,post_video_access,smoothing_behavior,identity_repair_behavior,termination_revival_assumptions,classification,bytetrack_specific,reusable_unchanged_for_rf,required_adapter_fields,active_in_frozen_profile
1,identity_swap_guard,src/pig_behavior/tracking/refinement.py,apply_identity_swap_guard,list[shape],list[shape],"label Pig_<fixed slot>; ID attribute preserved","core-authored outside and state are accepted","uncertain source/hold/review fields affect veto and reason","integer frames; chronological sort","not read","points=[x1,y1,x2,y2]","score only through review metadata","not read","not read","past/current only","called after video","none","swaps complete non-ID payloads between fixed slots","does not create/revive/terminate",TRACKER_AGNOSTIC_REPAIR,false,true,"frame; label; attributes.ID; points; outside; _track_source; _occlusion_hold; _needs_review",true
2,temporal_box_refinement,src/pig_behavior/tracking/refinement.py,refine_shapes_temporally,list[shape],list[shape],"label Pig_<fixed slot> groups the raw track","outside shapes are retained but not stable anchors","Hidden/source/score determine stable anchors","integer frames; per-label chronological sort","not read","points=[x1,y1,x2,y2]","score and review_conf select anchors","not read","not read",true,true,"interpolates or blends bbox values only","none","does not create/revive/terminate",TRACKER_AGNOSTIC_REPAIR,false,true,"frame; label; attributes.Hidden; points; outside; score; _track_source",true
3,overlap_hidden_island_stabilization,src/pig_behavior/tracking/refinement.py,stabilize_overlap_hidden_islands,list[shape],list[shape],"label Pig_<fixed slot> groups observations","outside shapes are excluded from overlap candidates","Hidden neighbors and overlap determine visibility stabilization","integer frames; bounded neighboring-frame window","not read","points=[x1,y1,x2,y2]","not read","not read","not read",true,true,"none","changes Hidden/occluded only","does not create/revive/terminate",TRACKER_AGNOSTIC_REPAIR,false,true,"frame; label; attributes.Hidden; points; outside; occluded",true
4,local_pair_swap_repair,src/pig_behavior/tracking/refinement.py,repair_local_pair_swaps,list[shape],list[shape],"label Pig_<fixed slot> identifies pair members","outside/Hidden shapes are ineligible","visible observations only; bounded prior-frame memory","integer frames; increasing-frame scan","not read","points=[x1,y1,x2,y2]","not read","not read","not read",false,true,"none","swaps non-ID payloads for one frame pair","does not create/revive/terminate",TRACKER_AGNOSTIC_REPAIR,false,true,"frame; label; attributes.Hidden; points; outside",false
5,episode_pair_swap_repair,src/pig_behavior/tracking/refinement.py,repair_episode_pair_swaps,list[shape],list[shape],"label Pig_<fixed slot> identifies pair members","outside/Hidden shapes are ineligible","visible anchors required before and after an overlap episode","integer frames; contiguous episode and anchor windows","not read","points=[x1,y1,x2,y2]","not read","not read","not read",true,true,"none","swaps non-ID payloads across one bounded episode","does not create/revive/terminate",TRACKER_AGNOSTIC_REPAIR,false,true,"frame; label; attributes.Hidden; points; outside",false
6,long_pair_swap_repair,src/pig_behavior/tracking/refinement.py,repair_long_pair_swaps,list[shape],list[shape],"label Pig_<fixed slot> identifies pair members","outside/Hidden shapes are ineligible","visible observations and stable suffix required","integer frames; bounded gaps and long suffix","not read","points=[x1,y1,x2,y2]","not read","not read","not read",true,true,"none","swaps non-ID payloads across a stable segment","does not create/revive/terminate",TRACKER_AGNOSTIC_REPAIR,false,true,"frame; label; attributes.Hidden; points; outside",false
7,suffix_pair_swap_repair,src/pig_behavior/tracking/refinement.py,repair_suffix_pair_swaps,list[shape],list[shape],"label Pig_<fixed slot> identifies pair members","outside shapes are not present for this repair","uncertain hold/source/missed/state marks the overlap boundary","integer frames; common suffix and stable-frame count","not read","points=[x1,y1,x2,y2]","not read","not read","not read",true,true,"none","swaps non-ID payloads from one boundary through suffix","does not create/revive/terminate",TRACKER_AGNOSTIC_REPAIR,false,true,"frame; label; attributes.Hidden; points; outside; _track_source; _occlusion_hold; _missed_frames; _track_state",true
8,overlap_small_box_suppression,src/pig_behavior/tracking/refinement.py,suppress_overlapped_small_low_confidence_boxes,list[shape],list[shape],"track identity is not used for decisions","outside and already-Hidden shapes are skipped","visibility may change to Hidden for qualifying overlap","same-frame grouping only","not read","points=[x1,y1,x2,y2]","score","not read","not read",false,true,"none","changes Hidden/occluded only","does not create/revive/terminate",TRACKER_AGNOSTIC_REPAIR,false,true,"frame; attributes.Hidden; points; outside; score; occluded",true
9,hidden_suffix_id_swap_repair,src/pig_behavior/tracking/refinement.py,repair_hidden_suffix_id_swaps,list[shape],list[shape],"label Pig_<fixed slot> indexes geometry; ID attribute is repaired","outside shapes are skipped","bounded Hidden run plus visible partner and stable suffix required","integer frames; contiguous Hidden run and common suffix","not read","points=[x1,y1,x2,y2]","score median gates the Hidden run","not read","not read",true,true,"none","changes ID attributes over a suffix","does not create/revive/terminate",TRACKER_AGNOSTIC_REPAIR,false,true,"frame; label; attributes.ID; attributes.Hidden; points; outside; score",true
10,realtime_motion_pair_stabilizer,src/pig_behavior/tracking/refinement.py,stabilize_realtime_motion_pairs,list[shape],list[shape],"ID attribute identifies motion components","outside/Hidden shapes are ineligible","visible motion only","integer frames; global or fixed-lag scan","not read","points=[x1,y1,x2,y2]","not read","not read","not read",true,true,"none","may relabel ID attributes when enabled","does not create/revive/terminate",GENERIC_SHARED_INFRASTRUCTURE,false,true,"frame; attributes.ID; attributes.Hidden; points; outside",false
