feature_id,feature_name,feature_family,producer_stage,formula_latex,formula_plain,required_inputs,output_dtype,units,coordinate_system,normalization,computation_grain,grouping_key,pair_reset_key,validity_mask,availability_mask,missing_value_semantics,zero_value_semantics,denominator,aggregation_rule,minimum_valid_observations,no_valid_observation_behavior,physical_interpretation,is_physical_measurement,review_eligible,model_eligible,model_group,leakage_risk,threshold_dependencies,schema_version,code_locations,test_locations,implementation_status,known_limitations
feature.bbox_width_px,bbox_w,geometry,stage.frame_local_primitives,w=x_2-x_1,x2 minus x1,x1|x2,float64,pixels,image_pixel,none,FRAME_OBJECT,,,bbox_valid,geometry_feature_valid,unavailable; preserve missingness with a mask,measured zero only when availability mask is true,not_applicable,none,1,numeric zero plus availability_mask=0,pixel extent; not physical length,false,true,true,bbox_shape,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/geometry.py#build_geometry_features,tests/test_classification_v2_pre_review_science.py,IMPLEMENTED_PARTIALLY_TESTED,
feature.bbox_height_px,bbox_h,geometry,stage.frame_local_primitives,h=y_2-y_1,y2 minus y1,y1|y2,float64,pixels,image_pixel,none,FRAME_OBJECT,,,bbox_valid,geometry_feature_valid,unavailable; preserve missingness with a mask,measured zero only when availability mask is true,not_applicable,none,1,numeric zero plus availability_mask=0,pixel extent; not physical length,false,true,true,bbox_shape,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/geometry.py#build_geometry_features,,IMPLEMENTED_PARTIALLY_TESTED,
feature.bbox_center_x_n,cx_n,geometry,stage.frame_local_primitives,(x_1+x_2)/(2W),bbox center x divided by image width,x1|x2|image_width,float64,dimensionless,axis_normalized_image,image_width,FRAME_OBJECT,,,geometry_feature_valid,geometry_feature_valid,unavailable; preserve missingness with a mask,measured zero only when availability mask is true,not_applicable,none,1,numeric zero plus availability_mask=0,image-coordinate position; not physical position,false,true,true,bbox_xywh_n,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/geometry.py#build_geometry_features,tests/test_classification_v2_pre_review_science.py,IMPLEMENTED_AND_TESTED,
feature.bbox_center_y_n,cy_n,geometry,stage.frame_local_primitives,(y_1+y_2)/(2H),bbox center y divided by image height,y1|y2|image_height,float64,dimensionless,axis_normalized_image,image_height,FRAME_OBJECT,,,geometry_feature_valid,geometry_feature_valid,unavailable; preserve missingness with a mask,measured zero only when availability mask is true,not_applicable,none,1,numeric zero plus availability_mask=0,image-coordinate position; not physical position,false,true,true,bbox_xywh_n,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/geometry.py#build_geometry_features,tests/test_classification_v2_pre_review_science.py,IMPLEMENTED_AND_TESTED,
feature.bbox_width_n,bw_n,geometry,stage.frame_local_primitives,(x_2-x_1)/W,bbox width divided by image width,bbox_w|image_width,float64,dimensionless,axis_normalized_image,image_width,FRAME_OBJECT,,,geometry_feature_valid,geometry_feature_valid,unavailable; preserve missingness with a mask,measured zero only when availability mask is true,not_applicable,none,1,numeric zero plus availability_mask=0,image-coordinate size; not physical size,false,true,true,bbox_xywh_n,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/geometry.py#build_geometry_features,tests/test_classification_v2_pre_review_science.py,IMPLEMENTED_AND_TESTED,
feature.bbox_height_n,bh_n,geometry,stage.frame_local_primitives,(y_2-y_1)/H,bbox height divided by image height,bbox_h|image_height,float64,dimensionless,axis_normalized_image,image_height,FRAME_OBJECT,,,geometry_feature_valid,geometry_feature_valid,unavailable; preserve missingness with a mask,measured zero only when availability mask is true,not_applicable,none,1,numeric zero plus availability_mask=0,image-coordinate size; not physical size,false,true,true,bbox_xywh_n,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/geometry.py#build_geometry_features,tests/test_classification_v2_pre_review_science.py,IMPLEMENTED_AND_TESTED,
feature.bbox_area_n,area_n,geometry,stage.frame_local_primitives,w h/(WH),bbox pixel area divided by image pixel area,bbox_area|image_width|image_height,float64,dimensionless,image_pixel_area,image_width times image_height,FRAME_OBJECT,,,geometry_feature_valid,geometry_feature_valid,unavailable; preserve missingness with a mask,measured zero only when availability mask is true,not_applicable,none,1,numeric zero plus availability_mask=0,image occupancy ratio; not physical area,false,true,true,bbox_shape_n,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/geometry.py#build_geometry_features,tests/test_classification_v2_pre_review_science.py,IMPLEMENTED_AND_TESTED,
feature.bbox_aspect_ratio,aspect_ratio,geometry,stage.frame_local_primitives,w/h,bbox pixel width divided by bbox pixel height,bbox_w|bbox_h,float64,dimensionless,image_pixel,none,FRAME_OBJECT,,,geometry_feature_valid,geometry_feature_valid,unavailable; preserve missingness with a mask,measured zero only when availability mask is true,not_applicable,none,1,numeric zero plus availability_mask=0,projected shape ratio; not physical body ratio,false,true,true,bbox_shape_n,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/geometry.py#build_geometry_features,tests/test_classification_v2_pre_review_science.py,IMPLEMENTED_AND_TESTED,
feature.geometry_valid,geometry_feature_valid,quality_mask,stage.frame_local_primitives,1[bbox valid and all geometry finite],true only for positive in-image bbox and finite geometry,,bool,boolean,none,none,FRAME_OBJECT,,,observed_mask,observed_mask,unavailable; preserve missingness with a mask,false means geometry unavailable or invalid,not_applicable,none,1,numeric zero plus availability_mask=0,not a physical measurement,false,true,true,spatial_quality_mask,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/geometry.py#build_geometry_features,tests/test_classification_v2_motion_time_contracts.py#test_invalid_geometry_is_zeroed_and_quality_masked,IMPLEMENTED_AND_TESTED,
feature.image_boundary_metric,bbox_was_clipped,quality_mask,stage.frame_local_primitives,"1[(x_1,y_1,x_2,y_2) differs from raw bbox]",true when operational bbox differs from raw bbox,,bool,boolean,image_pixel,none,FRAME_OBJECT,,,observed_mask,observed_mask,unavailable; preserve missingness with a mask,false means no clipping was observed,not_applicable,none,1,numeric zero plus availability_mask=0,image-boundary quality flag; not physical contact,false,true,false,AUDIT_ONLY,LOW,,classification_v2.feature_semantics.v1,src/pig_behavior/classification_v2/features/geometry.py#build_geometry_features,,IMPLEMENTED_NOT_TESTED,
