stage_id,historical_role,historical_input_contract,historical_output_contract,ByteTrack_internal_dependency,portable_category,transfer_rationale,RF_input_contract,proposed_RF_behavior,parameters_reused,new_parameters_required,included_in_rf_hybrid_v1
LIVE_YOLO_TRACK,detector/tracker producer,masked decoded frame,Ultralytics tracked Results,ByteTrack predictor and tracker state,BYTETRACK_SPECIFIC,RF starts from realtime_fast output and must not invoke model.track,causal RF tracklets,not invoked,N/A,N/A,NO
BYTETRACK_PERSISTENT_STATE,association state,live model.track Results,persistent active/lost/removed lists,ByteTrack lifecycle and Kalman state,BYTETRACK_SPECIFIC,RF has an independent causal state lifecycle,causal RF tracklets,not imported,N/A,N/A,NO
DETECTION_PARSE_AND_LOW_CONF_FLOW,detector evidence,tracked Results with high/low rows,project detection rows,ByteTrack confidence populations,BYTETRACK_SPECIFIC,RF detector contract already freezes its own evidence path,frozen RF tracklet rows,consume frozen rows,N/A,N/A,NO
FIXED_EIGHT_INITIALIZATION,identity bootstrap,first project rows,IDs 1..8,none beyond historical row assumptions,NOT_RELEVANT_TO_RF,RF core already owns its identity slots,RF tracklet contract,retain RF initialization,N/A,N/A,NO
RAW_OWNER_AND_LOST_REACQUIRE_GUARDS,owner lifecycle,raw owner and lost track state,guarded assignment,raw ByteTrack owner IDs and lost lists,BYTETRACK_SPECIFIC,RF has no raw-owner ByteTrack namespace,RF tracklet owner fields,not imported,N/A,N/A,NO
HIDDEN_OWNER_GUARD,Hidden ownership,raw owner plus Hidden track,held Hidden identity,ByteTrack raw-owner semantics,BYTETRACK_SPECIFIC,portable principle requires a new RF owner contract,RF Hidden tracklet owner evidence,not imported,N/A,N/A,NO
OCCLUSION_REENTRY_GUARDS,occlusion/re-entry,ByteTrack lost/reacquire state,rejected or held re-entry,ByteTrack track state and raw ownership,BYTETRACK_SPECIFIC,RF-native re-entry semantics must be defined separately,RF episode tracklets,not imported,N/A,N/A,NO
RAW_PROJECT_TRACK_OUTPUT,track projection,Ultralytics tracks,project track rows,ByteTrack bbox and ID output,BYTETRACK_SPECIFIC,RF starts after this boundary,RF frozen tracklet rows,not imported,N/A,N/A,NO
OFFLINE_IDENTITY_SWAP_GUARD,identity repair,complete tracklet table,guarded identities,none; uses generic tracklet contract,DIRECTLY_PORTABLE,works on frozen RF tracklets without ByteTrack state,frozen RF tracklet table,apply the same bounded swap guard,identity_swap_guard,NO,YES
TEMPORAL_BBOX_REFINEMENT,geometry refinement,tracklet boxes and scores,smoothed/refined boxes,none; generic future-frame table,DIRECTLY_PORTABLE,uses only generic box trajectory contract,frozen RF tracklet table,apply declared temporal refinement,smooth_boxes/refine_boxes,NO,YES
OVERLAP_HIDDEN_ISLAND_STABILIZATION,Hidden geometry,overlap Hidden islands,stabilized Hidden geometry,none beyond project Hidden fields,DIRECTLY_PORTABLE,uses generic overlap and Hidden fields,frozen RF Hidden tracklets,stabilize overlap islands,hidden_overlap_window_frames,NO,YES
LOCAL_EPISODE_LONG_PAIR_REPAIRS,pair repair,identity episodes and box trajectories,repaired pair episodes,none; generic episode contract,DIRECTLY_PORTABLE,operates on tracklet episodes rather than ByteTrack state,frozen RF episodes,apply local/long pair repair,existing pair repair parameters,NO,YES
SUFFIX_PAIR_SWAP_REPAIR,suffix repair,terminal identity suffixes,repaired suffix IDs,none; generic episode contract,DIRECTLY_PORTABLE,requires only frozen tracklets and suffix scope,frozen RF suffix episodes,apply suffix repair,existing suffix repair parameters,NO,YES
