canonical_method_id,profile_name,alias_names,source_sha,profile_definition_blob,effective_config_availability,detector_evidence,tracker_core,repair_stack,timing_class,prediction_artifact,evaluator_contract,metric_authority,scope_status,lifecycle_state,evidence_class,limitations
HISTORICAL_RAW_BYTETRACK_SUMMARY_LINEAGE,bytetrack_raw,raw ByteTrack|historical raw|ByteTrack baseline,UNRESOLVED,UNRESOLVED,NO,UNRESOLVED,historical ByteTrack summary lineage,none reported; not byte-proven,UNRESOLVED,NOT_AVAILABLE,TRACKING_EVALUATOR_LEGACY_V1_OR_UNKNOWN,historical summary only,HISTORICAL_SUMMARY_ONLY,historical,REPORTED_BY_HISTORICAL_SUMMARY_ONLY,No surviving prediction bytes or complete manifest.
B0_CURRENT_STANDARD_V2_20260728,bytetrack_raw,B0|current raw ByteTrack,ac9bda0f7432d56229ede36bbb8fa06167846313,547ae86e3be26671a9a148cb0e613ea1c602a0ff842a977ce9b7f1d217c10e41,YES,full-frame cache authority 494d17ddb9d592dcf2105fd89a7204181f99a49353614315216d30ea43716e00,current bytetrack_raw cache-replay execution,none,online_raw,13d9226c36141264cc33e4b498d38e5f3eaa9891cf32bc4c8fb87b01fd27d576,TRACKING_EVALUATOR_STANDARD_V2,docs/tracking/b0_b1_r0_standard_v2/B0_BYTETRACK_RAW_STANDARD_V2_AUTHORITY_20260728.json,CURRENT_DEVELOPMENT_AUTHORITY,active,MEASURED_FROM_FROZEN_ARTIFACT,Not comparable to historical raw without historical bytes.
REALTIME_LEGACY_MODE_COMPARE_20260709,realtime,realtime|legacy causal tracker,UNRESOLVED_IN_THIS_LEDGER,historical profile; retired,PARTIAL,historical mode-comparison authority,legacy realtime implementation,none/causal guards depending run,causal_framewise,NOT_AVAILABLE_IN_CURRENT_AUTHORITY,legacy evaluator,outputs/eval/mode_compare/20260709_040751,HISTORICAL_DEVELOPMENT,retired,REPORTED_BY_HISTORICAL_SUMMARY_ONLY,Name meaning changed; no active alias.
REALTIME_FAST_PRE_RF_ACC23_20260720,realtime_fast,Fast|promoted realtime fast|pre-RF_ACC23 parent,promotion lineage documented in historical records,historical effective profile record,PARTIAL,historical full-13 run evidence,pre-RF_ACC23 realtime_fast,causal guards only,causal_framewise,HISTORICAL_WORKTREE_ARTIFACT_ONLY,legacy tracking evaluator,.agents/memory/06_BENCHMARK_NOTES.md,HISTORICAL_DEVELOPMENT,superseded method version,REPORTED_BY_HISTORICAL_SUMMARY_ONLY,Must not be relabeled RF_ACC23 or current R0.
RF_ACC23_RECOVERED_20260723,realtime_fast,RF_ACC23|20260723_rf_acc23_full13_instrumented_v1,b0d9009,9bf4ce6d07423ab517b4705c716e3eb012349b756b7c0591cc3458eac207808d,YES_WITH_HISTORICAL_LIMITATIONS,recovered historical cache/run manifest,RF_ACC23 recovered lineage,"causal, no offline repair",causal_framewise,PIG_task_tracking/outputs/pred/tracking_realtime_fast_accuracy/20260723_rf_acc23_full13_primary_v1,legacy include-Hidden evaluator,docs/TRACKING_RF_ACC23_ARTIFACT_RECOVERY_20260727.md,HISTORICAL_RECOVERED_DEVELOPMENT,unpromoted historical evidence,MEASURED_FROM_FROZEN_ARTIFACT,Historical runtime failed; evaluator differs from Standard V2.
R0_CURRENT_STANDARD_V2_20260728,realtime_fast,R0|current Fast|current causal reference,64d835cbf1b25ecdef3a777a50f0b46db6c93f61,9bf4ce6d07423ab517b4705c716e3eb012349b756b7c0591cc3458eac207808d,YES,R0 even-frame cache authority 795df7732393e4e258a82db58e29101b068cf8ac3583acf7702e0afdaeec6e7a,current realtime_fast,causal association guards; no offline repair,causal_framewise,fd2d4f3dec0710d1c9eecba9308247a7b226dd34a4a02a9cb89f17acb22bbbfe,TRACKING_EVALUATOR_STANDARD_V2,docs/tracking/b0_b1_r0_standard_v2/R0_REALTIME_FAST_STANDARD_V2_AUTHORITY_20260728.json,CURRENT_DEVELOPMENT_AUTHORITY,active,MEASURED_FROM_FROZEN_ARTIFACT,Historical fast comparisons are version/evaluator confounded.
REALTIME_BALANCED_HISTORICAL_20260718,realtime_balanced,Balanced|RB0|promoted balanced,historical promotion lineage,historical authority only,PARTIAL,historical run manifests,historical realtime balanced,causal hidden reservation and guards,causal_framewise,HISTORICAL_ONLY,legacy include-Hidden evaluator,docs/TRACKING_PROMOTION_DECISION_20260718_REALTIME_BALANCED_HIDDEN_RESERVATION.json,HISTORICAL_DEVELOPMENT,retired,BOUND_BY_EFFECTIVE_CONFIG,Unavailable for active execution.
REALTIME_QUALITY_DELAYED_HISTORICAL_20260719,realtime_quality_delayed,Quality|RQ4|quality-delayed,historical RQ lineage,historical authority only,PARTIAL,historical run manifests,realtime core plus delayed/global repair,post-video/global graph,post_video_global_graph,HISTORICAL_ONLY,legacy include-Hidden evaluator,docs/TRACKING_RQ4_QUALITY_COPY_PERFORMANCE_DECISION_20260719.json,HISTORICAL_DEVELOPMENT,retired,BOUND_BY_EFFECTIVE_CONFIG,Not a causal realtime authority.
HISTORICAL_H5B_H4_20260719,hybrid_bytetrack_best,historical hybrid best|H5b/H4|hybrid_best|20260719_h5b_h4_full13_combined_v2,31d360ba96b4065ce5125c0d88765531cc5898ae,4eb3d4e2262485d48d425be06fd8a6b3adfd8a01a27b28e76b5a8d55958d1d55,PARTIAL_AUTHORITATIVE,historical declared 0.20/64; original raw cache unavailable,historical H5b tracker/core,promoted H5b then H4 ordered repair,post_video_global_graph,36c3bdd3f6d92c0c5336590dbf4c8822402d718ec47df2b137cef862339d5b8a,TRACKING_EVALUATOR_STANDARD_V2,docs/tracking/historical_h5b_h4_standard_v2/HISTORICAL_H5B_H4_STANDARD_V2_AUTHORITY_20260728.json,NON_EXECUTABLE_HISTORICAL_PREDICTION_AUTHORITY,historical authority,MEASURED_FROM_FROZEN_ARTIFACT,Executable detector-row/runtime parity not established.
B1_CURRENT_STANDARD_V2_20260728,hybrid_bytetrack,B1|current hybrid|current hybrid_bytetrack,ac9bda0f7432d56229ede36bbb8fa06167846313,4eb3d4e2262485d48d425be06fd8a6b3adfd8a01a27b28e76b5a8d55958d1d55,YES,full-frame 0.25/32 cache authority 494d17ddb9d592dcf2105fd89a7204181f99a49353614315216d30ea43716e00,current hybrid cache replay,offline repair semantic e078b5b165dda82dee5b61e9465dc9844446e4cb576a02858c4ed7369828d758,post_video_global_graph,569c49e00905add068fac70c919fe21c10127e3ab773528a4ac44199fcb4835b,TRACKING_EVALUATOR_STANDARD_V2,docs/tracking/b0_b1_r0_standard_v2/B1_HYBRID_BYTETRACK_STANDARD_V2_AUTHORITY_20260728.json,CURRENT_DEVELOPMENT_AUTHORITY,active,MEASURED_FROM_FROZEN_ARTIFACT,Does not represent historical H5b/H4 predictions.
B1_EXECUTABLE_REPRODUCTION_FAILED_20260729,hybrid_bytetrack_best,failed H5b/H4 reproduction|run_1|run_2,e7a95d269c25f3859f3e77d5981f1fde34fb2685,a9cb3b622c22591e1f377cf7805d2ea8488c374a20ef35e59963ae237caa0b49,YES_DECLARED,reconstructed cache 52566e9318e8a6c60ea49b01af8715c3b074460c4a803332e6a77b40ac004975,current-main executable replay seam,current promoted H5b/H4-equivalent declaration,post_video_global_graph,d48ae4281dae4969ad76fb7ca778ff61123b0f1bf8c1bad69917fa0ea508ba5e,TRACKING_EVALUATOR_STANDARD_V2,docs/tracking/historical_h5b_h4_executable_reproduction/HISTORICAL_H5B_H4_EXECUTABLE_REPRODUCTION_AUTHORITY_20260729.json,FAILED_REPRODUCTION_EVIDENCE,failed; preserved,MEASURED_FROM_FROZEN_ARTIFACT,Deterministic execution is not historical parity.
