window_id,historical_event_id,video_key,recording_date_session,warmup_start_frame,score_start_frame,score_end_frame,run_end_frame,development_role,selection_rationale,historical_evidence_sha,historical_evidence_role,gt_authority_status,video_sha256,gt_sha256,validation_eligible
H2P01_000226_OCCLUSION,RF_ACC23_E003,Pigs291119_000226_30fps,2019-11-29/session-291119,1576,1636,1637,1667,positive_historical_occlusion_owner_loss,"Authoritative two-frame owner-loss event; warmup and causal tail frozen around historical event",b0d9009,MECHANISM_DISCOVERY_ONLY,SUFFICIENT_FOR_INCLUDED_EVENT,9d637888df9c5d01ec26425ffd1f7fe9d5f6842e9169a0464bea048f8ae5c5fd,9651401fb022c9dfc917df4b0b163dd750279f1bca7932a32aad8b0682ee923a,false
H2P02_000233_OCCLUSION,RF_ACC23_E006,Pigs291119_000233_30fps,2019-11-29/session-291119,861,921,1799,1799,positive_historical_occlusion_owner_loss,"Authoritative terminal owner-loss event; no frame beyond source end is permitted",b0d9009,MECHANISM_DISCOVERY_ONLY,SUFFICIENT_FOR_INCLUDED_EVENT,24de02b8ecf5bd892e14c763872e3d86c7270f4c778f822844209c83a69888a1,348f4ffa83ab7f7ac3c603a60a4f00528cf222d3f13129e2f04c399d7cb4158c,false
H2P03_000263_OCCLUSION_A,RF_ACC23_E007,Pigs291119_000263_30fps,2019-11-29/session-291119,328,388,423,453,positive_historical_occlusion_owner_loss,"Authoritative self-recovering owner-loss event with causal warmup and tail",b0d9009,MECHANISM_DISCOVERY_ONLY,SUFFICIENT_FOR_INCLUDED_EVENT,24274a8c7e8638f223e11ddc7dce4632e1099a0c6ee200d1febda492315842ad,4636c3beb1d6e43a2c58dd45c050c62ee9d37d05010c26e578db1b9200ac21b8,false
H2P04_000263_OCCLUSION_B,RF_ACC23_E008,Pigs291119_000263_30fps,2019-11-29/session-291119,738,798,837,852,positive_historical_occlusion_owner_loss,"Authoritative self-recovering owner-loss event; tail ends before the next distinct error onset",b0d9009,MECHANISM_DISCOVERY_ONLY,SUFFICIENT_FOR_INCLUDED_EVENT,24274a8c7e8638f223e11ddc7dce4632e1099a0c6ee200d1febda492315842ad,4636c3beb1d6e43a2c58dd45c050c62ee9d37d05010c26e578db1b9200ac21b8,false
H2P05_000263_OCCLUSION_C,RF_ACC23_E009,Pigs291119_000263_30fps,2019-11-29/session-291119,838,863,863,893,positive_historical_occlusion_owner_loss,"Authoritative isolated one-frame mismatch; warmup begins after preceding scored event",b0d9009,MECHANISM_DISCOVERY_ONLY,SUFFICIENT_FOR_INCLUDED_EVENT,24274a8c7e8638f223e11ddc7dce4632e1099a0c6ee200d1febda492315842ad,4636c3beb1d6e43a2c58dd45c050c62ee9d37d05010c26e578db1b9200ac21b8,false
H2P06_000327_OCCLUSION,RF_ACC23_E010,Pigs301119_000327_30fps,2019-11-30/session-301119,1592,1652,1799,1799,positive_historical_occlusion_owner_loss,"Authoritative terminal owner-loss event from an independent later session",b0d9009,MECHANISM_DISCOVERY_ONLY,SUFFICIENT_FOR_INCLUDED_EVENT,3b415b115c786f261a37d4f47fecdf8c50306d897e4f6b5b13e7acc13114fb42,00eaf567154f1854c9c7ef866353e8db2af3d1329a5e54c70a36a8ccb97dc1b6,false
H2C01_000226_DROPOUT,NOT_AN_ERROR_EVENT,Pigs291119_000226_30fps,2019-11-29/session-291119,920,980,1035,1065,control_historical_dropout_without_identity_error,"Existing diagnostic shows missing-detection hidden-overlap activity without a remapped identity-error row",b0d9009,MECHANISM_DISCOVERY_ONLY,SUFFICIENT_FOR_INCLUDED_EVENT,9d637888df9c5d01ec26425ffd1f7fe9d5f6842e9169a0464bea048f8ae5c5fd,9651401fb022c9dfc917df4b0b163dd750279f1bca7932a32aad8b0682ee923a,false
H2C02_000233_DROPOUT,NOT_AN_ERROR_EVENT,Pigs291119_000233_30fps,2019-11-29/session-291119,240,300,370,400,control_historical_dropout_without_identity_error,"Existing diagnostic shows bounded hidden-overlap activity before any audited identity-error event",b0d9009,MECHANISM_DISCOVERY_ONLY,SUFFICIENT_FOR_INCLUDED_EVENT,24de02b8ecf5bd892e14c763872e3d86c7270f4c778f822844209c83a69888a1,348f4ffa83ab7f7ac3c603a60a4f00528cf222d3f13129e2f04c399d7cb4158c,false
H2C03_000263_DROPOUT,NOT_AN_ERROR_EVENT,Pigs291119_000263_30fps,2019-11-29/session-291119,1408,1468,1529,1559,control_historical_dropout_without_identity_error,"Existing diagnostic shows repeated dropout/occlusion signals without audited wrong-ID rows",b0d9009,MECHANISM_DISCOVERY_ONLY,SUFFICIENT_FOR_INCLUDED_EVENT,24274a8c7e8638f223e11ddc7dce4632e1099a0c6ee200d1febda492315842ad,4636c3beb1d6e43a2c58dd45c050c62ee9d37d05010c26e578db1b9200ac21b8,false
H2C04_000327_DROPOUT,NOT_AN_ERROR_EVENT,Pigs301119_000327_30fps,2019-11-30/session-301119,1148,1208,1233,1263,control_historical_dropout_without_identity_error,"Existing diagnostic shows bounded hidden-overlap activity well before the terminal owner-loss event",b0d9009,MECHANISM_DISCOVERY_ONLY,SUFFICIENT_FOR_INCLUDED_EVENT,3b415b115c786f261a37d4f47fecdf8c50306d897e4f6b5b13e7acc13114fb42,00eaf567154f1854c9c7ef866353e8db2af3d1329a5e54c70a36a8ccb97dc1b6,false
