stage_id,stage_name,purpose,input_artifacts,output_artifacts,input_grain,output_grain,grouping_keys,canonical_identity_keys,identity_contract_ids,pair_reset_key,temporal_support,required_columns,produced_columns,forbidden_columns,schema_version,evidence_semantics_version,model_eligibility,review_eligibility,deterministic_ordering,missingness_policy,failure_policy,checker,tests,audit_artifact,code_locations,current_status
stage.legacy_cvat_source_merge,Legacy/CVAT source merge,Merge immutable source authorities without positional matching.,artifact.source_annotations,artifact.merged_frame_objects,SOURCE_ANNOTATION_OBJECT,FRAME_OBJECT,source_type|dataset_id|video_key,frame_uid|object_id_in_image,schema.classification_v2.object_track_key,,none,source_type|dataset_id|video_key|frame_uid,object_track_key|source_frame_index,,classification_v2.merged_frame_objects.v2,classification_v2.source_semantics.v6,PROVENANCE_ONLY,UPSTREAM_REVIEW_INPUT,explicit stable keys required,fail closed on undeclared missingness,FAIL_CLOSED,audit_merged_frame_objects,tests/test_classification_v2_identifier_contract.py|tests/test_classification_v2_object_track_key_authority.py,merged_frame_objects_audit.json,src/pig_behavior/classification_v2/merge_sources.py#merge_frame_object_sources|src/pig_behavior/classification_v2/contracts/identifiers.py#ensure_object_track_keys|src/pig_behavior/classification_v2/contracts/candidate_manifest.py#build_candidate_artifact_manifest,IMPLEMENTED_PARTIALLY_TESTED
stage.frame_local_primitives,Frame-local primitives,"Compute one-frame geometry, ROI, social and pen primitives only.",artifact.merged_frame_objects,artifact.frame_local_primitives,FRAME_OBJECT,FRAME_LOCAL_PRIMITIVES,scene_frame_uid,frame_uid|object_track_key,schema.classification_v2.object_track_key,,none,bbox|image_width|image_height|source_frame_index,cx_n|cy_n|bbox_valid|temporal_unit_key,*_pair_valid|*_unit|prev_*|delta_*,classification_v2.frame_local_primitives.v2,UNVERSIONED,ELIGIBLE_BY_EXPLICIT_WHITELIST,ELIGIBLE,explicit stable keys required,fail closed on undeclared missingness,FAIL_CLOSED,audit_frame_local_primitives,tests/test_classification_v2_pre_review_science.py,frame_local_audit.json,src/pig_behavior/classification_v2/features/frame_local.py#build_frame_local_primitives|src/pig_behavior/classification_v2/contracts/candidate_manifest.py#build_candidate_artifact_manifest,IMPLEMENTED_AND_TESTED
stage.hidden_review_design,Hidden review design,Select target-independent two-sided visibility review cohorts.,artifact.frame_local_primitives,artifact.hidden_manifest,FRAME_OBJECT,HIDDEN_REVIEW_ITEM,hidden_review_stratum|review_track_key,hidden_review_item_id,,temporal_unit_key,adjacent frame-local visibility evidence only,,,behavior-derived risk|model target,classification_v2.hidden_review_manifest.v2,UNVERSIONED,NOT_MODEL_INPUT,HIDDEN_GUI_INPUT,explicit stable keys required,fail closed on undeclared missingness,FAIL_CLOSED,audit_hidden_review_manifest,tests/test_classification_v2_hidden_review.py,hidden_review_manifest_audit.json,src/pig_behavior/classification_v2/review/hidden_review_builder.py#build_hidden_review_manifest|src/pig_behavior/classification_v2/contracts/candidate_manifest.py#build_candidate_artifact_manifest,IMPLEMENTED_AND_TESTED
stage.hidden_decision_migration,Hidden decision migration,Carry only exact stable-key decisions with invariant media/span identity.,artifact.hidden_manifest|artifact.hidden_decisions,artifact.hidden_decisions,HIDDEN_REVIEW_ITEM,HIDDEN_DECISION,hidden_review_item_id,hidden_review_item_id,,,none,,,positional_match,classification_v2.hidden_decision_migration.v2,UNVERSIONED,NOT_MODEL_INPUT,AUDIT_ONLY,explicit stable keys required,fail closed on undeclared missingness,FAIL_CLOSED,carry_forward_hidden_review_decisions,tests/test_classification_v2_hidden_carry_forward_production.py,hidden_carry_forward_audit.json,src/pig_behavior/classification_v2/review/hidden_review_migration.py#carry_forward_hidden_review_decisions|src/pig_behavior/classification_v2/contracts/candidate_manifest.py#build_candidate_artifact_manifest,IMPLEMENTED_AND_TESTED
stage.hidden_gui,Hidden GUI,Collect Yes/No/Unclear visibility decisions without editing sources.,artifact.hidden_manifest,artifact.hidden_decisions,HIDDEN_REVIEW_ITEM,HIDDEN_DECISION,hidden_review_item_id,hidden_review_item_id,,,none,,,,classification_v2.hidden_gui_decision.v2,UNVERSIONED,NOT_MODEL_INPUT,HUMAN_REVIEW_ONLY,explicit stable keys required,fail closed on undeclared missingness,FAIL_CLOSED,audit_hidden_decision_coverage,tests/test_hidden_review_gui_resume.py,hidden_decision_coverage.json,scripts/classification_v2/01_review_units_gui/review_hidden_quality_gui.py#main,IMPLEMENTED_PARTIALLY_TESTED
stage.hidden_coverage_scientific_gate,Hidden coverage/scientific gate,Prove complete decisions and report weighted false-negative evidence.,artifact.hidden_manifest|artifact.hidden_decisions,artifact.hidden_decisions,HIDDEN_REVIEW_ITEM,HIDDEN_REVIEW_AUDIT,review_cohort|sampling_stratum,hidden_review_item_id,,,none,,,,classification_v2.hidden_scientific_gate.v2,UNVERSIONED,NOT_MODEL_INPUT,GATE_ONLY,explicit stable keys required,fail closed on undeclared missingness,FAIL_CLOSED,audit_hidden_decision_coverage,tests/test_classification_v2_hidden_review_science.py,hidden_scientific_gate.json,src/pig_behavior/classification_v2/review/hidden_review_science.py#evaluate_hidden_scientific_gate|src/pig_behavior/classification_v2/contracts/candidate_manifest.py#build_candidate_artifact_manifest,IMPLEMENTED_AND_TESTED
stage.hidden_apply,Hidden apply,Apply frame/object decisions row-preservingly.,artifact.frame_local_primitives|artifact.hidden_decisions,artifact.hidden_reviewed_frames,FRAME_OBJECT,FRAME_LOCAL_PRIMITIVES,frame_uid|object_id_in_image,hidden_review_item_id|frame_uid,,,none,,,,classification_v2.hidden_apply.v2,UNVERSIONED,HIDDEN_FIELDS_FORBIDDEN,DOWNSTREAM_INPUT,explicit stable keys required,fail closed on undeclared missingness,FAIL_CLOSED,apply_hidden_review_decisions,tests/test_classification_v2_hidden_apply_contract.py,hidden_apply_audit.json,src/pig_behavior/classification_v2/review/hidden_review_builder.py#apply_hidden_review_decisions|src/pig_behavior/classification_v2/contracts/candidate_manifest.py#build_candidate_artifact_manifest,IMPLEMENTED_AND_TESTED
stage.temporal_harmonization,Temporal harmonization,Attach native temporal-unit identity and source-safe timing.,artifact.hidden_reviewed_frames,artifact.harmonized_frames|artifact.temporal_intervals,FRAME_LOCAL_PRIMITIVES,HARMONIZED_FRAME_AND_NATIVE_INTERVAL,object_track_key|temporal_unit_key,object_track_key|temporal_unit_key,,temporal_unit_key,legacy 16 frames; CVAT 6 frames,,,,classification_v2.temporal_harmonization.v2,UNVERSIONED,PROVENANCE_NOT_MODEL_X,NATIVE_REVIEW_INPUT,explicit stable keys required,fail closed on undeclared missingness,FAIL_CLOSED,audit_temporal_harmonization,tests/test_classification_v2_pre_review_science.py,temporal_harmonization_audit.json,src/pig_behavior/classification_v2/features/temporal_harmonization.py#harmonize_temporal_labels|src/pig_behavior/classification_v2/contracts/candidate_manifest.py#build_candidate_artifact_manifest,IMPLEMENTED_AND_TESTED
stage.native_review_evidence,Native-unit review evidence,Compute native-unit pair features and aggregates for review.,artifact.harmonized_frames,artifact.native_evidence,FRAME_LOCAL_PRIMITIVES,NATIVE_UNIT_REVIEW_EVIDENCE,source_type|dataset_id|video_key|object_track_key|temporal_unit_key,object_track_key|temporal_unit_key,,temporal_unit_key,within exact native unit only,timestamp_sec|bbox_valid|temporal_unit_key,motion pairs|unit aggregates|review helpers,,classification_v2.native_review_evidence.v2,classification_v2.native_review_evidence.v2,REVIEW_EVIDENCE_NOT_DIRECT_MODEL_X,ELIGIBLE_AFTER_GATE,explicit stable keys required,fail closed on undeclared missingness,FAIL_CLOSED,check_classification_v2_native_review_evidence.py,tests/test_classification_v2_phase1_pair_contract.py|tests/test_classification_v2_motion_time_contracts.py,native_review_evidence_audit.json,src/pig_behavior/classification_v2/features/spatiotemporal.py#build_enhanced_spatiotemporal_features|src/pig_behavior/classification_v2/features/native_evidence_contract.py#check_native_review_evidence|src/pig_behavior/classification_v2/contracts/candidate_manifest.py#build_candidate_artifact_manifest,IMPLEMENTATION_DIFFERS_FROM_CONTRACT
stage.pig_strenet_evidence,Pig-STRENet evidence,Build causal history-target review evidence and fixed masks.,artifact.harmonized_frames|artifact.native_evidence,artifact.pig_strenet,NATIVE_UNIT,HISTORY_TARGET_PAIR,object_track_key|temporal_unit_key,pair_id|temporal_unit_key,,history_target_boundary,complete history and target required,,,,classification_v2.pig_strenet_artifacts.v1,UNVERSIONED,REVIEW_EVIDENCE_ONLY,ELIGIBLE_AFTER_SCHEMA_PREFLIGHT,explicit stable keys required,fail closed on undeclared missingness,FAIL_CLOSED,check_classification_v2_pig_strenet_artifacts,tests/test_classification_v2_pig_strenet_artifacts.py,pig_strenet_artifact_audit.json,src/pig_behavior/classification_v2/features/pig_strenet_artifacts.py#build_pig_strenet_artifacts|src/pig_behavior/classification_v2/features/pig_strenet_checkpoint.py#PigSTRENetCheckpointStore|scripts/classification_v2/03_image_cache_context/classification_v2_build_pig_strenet_artifacts.py#_recover_publication|scripts/classification_v2/run_lineage_stage.py#_publication_recovery_errors|src/pig_behavior/classification_v2/datasets/pig_strenet_media.py#FrameMediaResolver|src/pig_behavior/classification_v2/datasets/pig_strenet_publication.py#recover_media_manifest|src/pig_behavior/classification_v2/contracts/pig_strenet_artifact_run.py#audit_pig_strenet_artifact_run|src/pig_behavior/classification_v2/contracts/candidate_manifest.py#build_candidate_artifact_manifest,IMPLEMENTED_AND_TESTED
