feature_id,formula,range,normalization,monotonic_direction,missing_data_behavior,clipping_policy,hidden_available,visible_available,symmetric_definition,causal,skipped_frame_dependency,primary_weight,role
overlap_similarity,"IoU(reference_box_t,detection_box)","[0,1]","bbox intersection over union","higher must not lower preference","required geometry; invalid box rejects candidate","clip quotient to [0,1]",true,true,true,true,"reference box may be LK-propagated",0.25,score
normalized_center_similarity,"1-clip(2*L2(center_t-center_d)/(diag_t+diag_d),0,1)","[0,1]","object-scale normalized by both box diagonals","higher must not lower preference","required geometry; invalid box rejects candidate","clip residual then similarity to [0,1]",true,true,true,true,"reference box may be LK-propagated",0.20,score
scale_similarity,"1-clip(abs(log(area_d/area_t))/log(4),0,1)","[0,1]","symmetric log area ratio; areas floored at one pixel","higher must not lower preference","required geometry; invalid box rejects candidate","clip normalized residual to [0,1]",true,true,true,true,no,0.10,score
appearance_similarity,"1-Hellinger(normalized_hist_t,normalized_hist_d)","[0,1]","L1-normalized nonnegative histograms","higher must not lower preference","set quality to 0.5 and appearance_available to 0","clip Hellinger and similarity to [0,1]",true,true,true,true,"detection-frame only unless causal descriptor exists",0.20,score
appearance_available,"1 iff both candidate and detection descriptors are valid else 0","{0,1}","binary validity mask","availability must not reduce preference","0 by definition when evidence is missing","none",true,true,true,true,"depends on descriptor availability",0.025,score
motion_consistency,"1-clip(L2(predicted_center_t-center_d)/(0.5*(diag_t+diag_d)),0,1)","[0,1]","object-scale normalized residual","higher must not lower preference","set quality to 0.5 and motion_available to 0","clip residual and similarity to [0,1]",true,true,true,true,"uses only causal motion or LK state",0.10,score
motion_available,"1 iff a causal motion prediction is valid else 0","{0,1}","binary validity mask","availability must not reduce preference","0 by definition when motion is missing","none",true,true,true,true,"may be 1 on skipped frames with valid LK",0.025,score
track_freshness,"1-clip(detection_opportunities_since_confirmed/max_opportunities,0,1)","[0,1]","counts detector opportunities rather than raw frames","higher may increase preference; staleness cannot increase it","always defined for initialized tracks","clip to [0,1]",true,true,true,true,"skipped non-detector frames do not increment count",0.10,score
detection_confidence,"detector confidence for the contested detection","[0,1]","detector-native confidence","higher affects eligibility equally for both tracks","missing confidence rejects candidate","clip only after validating finite input",true,true,true,true,no,0.0,shared_eligibility
lk_quality,"valid_tracked_points/attempted_points with forward-backward error gate","[0,1]","fraction of valid causal LK points","higher may strengthen motion evidence only","0 and motion_available=0 when LK is unavailable","clip fraction to [0,1]",true,true,true,true,"defined specifically for LK-propagated frames",0.0,motion_modulator
time_since_confirmed_frames,"current_frame-last_confirmed_frame","[0,infinity)","reported in source-frame units","longer must not increase preference","always defined for initialized tracks","cap for audit display only",true,true,true,true,"includes skipped detector frames",0.0,audit
skipped_detection_frame_indicator,"1 iff detector was not invoked on current frame else 0","{0,1}","binary cadence state","must not itself favor hidden or visible","always defined","none",true,true,true,true,"is the declared dependency",0.0,audit
